COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
67000,臺南市,67000150,七股區,8069,23365,12128,11237,"104Y12M"
67000,臺南市,67000080,下營區,9099,24786,12768,12018,"104Y12M"
67000,臺南市,67000110,大內區,3907,10054,5393,4661,"104Y12M"
67000,臺南市,67000220,山上區,2678,7437,3889,3548,"104Y12M"
67000,臺南市,67000370,中西區,30771,77498,37691,39807,"104Y12M"
67000,臺南市,67000270,仁德區,26859,73887,37590,36297,"104Y12M"
67000,臺南市,67000090,六甲區,7730,22586,11673,10913,"104Y12M"
67000,臺南市,67000170,北門區,4319,11527,5823,5704,"104Y12M"
67000,臺南市,67000340,北區,49896,132651,64782,67869,"104Y12M"
67000,臺南市,67000260,左鎮區,1990,5071,2841,2230,"104Y12M"
67000,臺南市,67000310,永康區,81796,230806,113945,116861,"104Y12M"
67000,臺南市,67000230,玉井區,5110,14388,7472,6916,"104Y12M"
67000,臺南市,67000030,白河區,10924,29271,15323,13948,"104Y12M"
67000,臺南市,67000360,安平區,24836,65380,31065,34315,"104Y12M"
67000,臺南市,67000210,安定區,9876,30331,15560,14771,"104Y12M"
67000,臺南市,67000350,安南區,61064,189620,95852,93768,"104Y12M"
67000,臺南市,67000140,西港區,8115,24921,12617,12304,"104Y12M"
67000,臺南市,67000120,佳里區,20403,59555,29542,30013,"104Y12M"
67000,臺南市,67000100,官田區,7854,21685,11096,10589,"104Y12M"
67000,臺南市,67000060,東山區,8242,21603,11482,10121,"104Y12M"
67000,臺南市,67000320,東區,71744,188865,90780,98085,"104Y12M"
67000,臺南市,67000250,南化區,2859,8893,4810,4083,"104Y12M"
67000,臺南市,67000330,南區,44941,125738,62473,63265,"104Y12M"
67000,臺南市,67000050,後壁區,8907,24329,12638,11691,"104Y12M"
67000,臺南市,67000040,柳營區,7841,21629,11295,10334,"104Y12M"
67000,臺南市,67000160,將軍區,7311,20309,10343,9966,"104Y12M"
67000,臺南市,67000070,麻豆區,15584,44987,22844,22143,"104Y12M"
67000,臺南市,67000190,善化區,16803,46933,23695,23238,"104Y12M"
67000,臺南市,67000180,新化區,14294,43828,22366,21462,"104Y12M"
67000,臺南市,67000200,新市區,11746,35853,18018,17835,"104Y12M"
67000,臺南市,67000010,新營區,28669,78165,38706,39459,"104Y12M"
67000,臺南市,67000240,楠西區,3538,10032,5318,4714,"104Y12M"
67000,臺南市,67000130,學甲區,9665,26652,13645,13007,"104Y12M"
67000,臺南市,67000300,龍崎區,1567,4196,2271,1925,"104Y12M"
67000,臺南市,67000280,歸仁區,22252,67906,34503,33403,"104Y12M"
67000,臺南市,67000290,關廟區,10974,34719,17939,16780,"104Y12M"
67000,臺南市,67000020,鹽水區,10092,26085,13628,12457,"104Y12M"
