鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,0-14歲人口數,15-64歲人口數,65歲以上人口數,老幼人數比例,獨居老人人數,低收入戶戶內人數
七股區,8069,23365,12128,11237,2473,16445,4447,29.61694843,189,464
下營區,9099,24786,12768,12018,2576,17479,4731,31.27327199,95,154
大內區,3907,10054,5393,4661,913,6889,2252,13.54590199,103,177
山上區,2678,7437,3889,3548,645,5348,1444,8.940723304,26,71
中西區,30771,77498,37691,39807,9821,55213,12464,95.37770169,139,1331
仁德區,26859,73887,37590,36297,8760,56403,8724,74.82987374,88,458
六甲區,7730,22586,11673,10913,2593,16271,3722,27.02760539,19,177
北門區,4319,11527,5823,5704,1046,8613,1868,12.47164562,131,319
北區,49896,132651,64782,67869,18158,97593,16900,150.044939,193,1937
左鎮區,1990,5071,2841,2230,335,3446,1290,6.954846993,123,147
永康區,81796,230806,113945,116861,33166,178012,19628,225.953349,137,1386
玉井區,5110,14388,7472,6916,1402,10063,2923,18.51059277,55,415
白河區,10924,29271,15323,13948,2827,19823,6621,40.4365504,266,433
安平區,24836,65380,31065,34315,9469,50366,5545,64.25850631,73,900
安定區,9876,30331,15560,14771,3558,22780,3993,32.31756901,74,329
安南區,61064,189620,95852,93768,27620,145422,16578,189.1632784,71,3245
西港區,8115,24921,12617,12304,2606,18569,3746,27.18596191,204,439
佳里區,20403,59555,29542,30013,7287,44095,8173,66.16734432,49,587
官田區,7854,21685,11096,10589,2180,15994,3511,24.35694415,96,365
東山區,8242,21603,11482,10121,2074,14828,4701,28.99636208,200,203
東區,71744,188865,90780,98085,28200,139385,21280,211.7697411,144,2179
南化區,2859,8893,4810,4083,805,6276,1812,11.20051359,87,124
南區,44941,125738,62473,63265,13454,95107,17177,131.0977958,166,2268
後壁區,8907,24329,12638,11691,2205,16501,5623,33.50310293,179,435
柳營區,7841,21629,11295,10334,1949,15596,4084,25.82067195,59,192
將軍區,7311,20309,10343,9966,1643,14758,3908,23.75775733,162,352
麻豆區,15584,44987,22844,22143,5395,32109,7483,55.11662743,94,343
善化區,16803,46933,23695,23238,7017,33371,6545,58.04408303,68,352
新化區,14294,43828,22366,21462,5091,32518,6219,48.40573507,30,260
新市區,11746,35853,18018,17835,5124,26811,3918,38.69890862,41,136
新營區,28669,78165,38706,39459,10507,56717,10941,91.7954205,59,619
楠西區,3538,10032,5318,4714,963,7019,2050,12.8953563,34,151
學甲區,9665,26652,13645,13007,2782,19739,4131,29.58698909,79,313
龍崎區,1567,4196,2271,1925,292,2887,1017,5.602396747,59,25
歸仁區,22252,67906,34503,33403,9084,51686,7136,69.42007276,36,685
關廟區,10974,34719,17939,16780,3757,25477,5485,39.55488979,82,430
鹽水區,10092,26085,13628,12457,2843,18518,4724,32.38604751,252,442
